x,y,z
90.7273644544,1406.47593272,71.24472501
409.722293696,862.125478855,201.371010596
-1871.87750922,-229.684369856,-370.71322746
362.774441745,1192.81356377,-310.43533379
-1871.87750922,-229.684369856,-370.71322746
704.976454506,1069.12462898,-66.6380718886
-1871.87750922,-229.684369856,-370.71322746
497.893589163,-683.385700786,-957.615800495
-176.996730825,-1302.72055324,3547.33146743
181.606199171,883.330110608,-73.9274947766
280.789943232,-521.408044586,-641.301767884
-628.259376237,147.034759928,-96.2303493738
